Date,Region,Service,Daily_Usage_Units,Peak_Usage_Units,VM_Count,Storage_TB,Season,Econ_Index,Downtime_Min
2020-01-06,East US,Compute,145273,158954,3530,0,Winter,107,3
2020-01-06,East US,Storage,0,0,0,804,Winter,94,2
2020-01-06,West Europe,Compute,96712,101785,7440,0,Winter,95,3
2020-01-06,West Europe,Storage,0,0,0,341,Winter,95,1
2020-01-06,Central India,Compute,102619,116231,5267,0,Winter,101,2
2020-01-06,Central India,Storage,0,0,0,754,Winter,102,0
2020-01-07,East US,Compute,107560,131018,6860,0,Winter,100,0
2020-01-07,East US,Storage,0,0,0,525,Winter,102,1
2020-01-07,West Europe,Compute,126099,143853,11599,0,Winter,97,0
2020-01-07,West Europe,Storage,0,0,0,1134,Winter,93,2
2020-01-07,Central India,Compute,155858,192130,11271,0,Winter,101,0
2020-01-07,Central India,Storage,0,0,0,1175,Winter,95,0
2020-01-08,East US,Compute,80292,94715,4585,0,Winter,103,2
2020-01-08,East US,Storage,0,0,0,483,Winter,97,0
2020-01-08,West Europe,Compute,54547,64840,5486,0,Winter,105,1
2020-01-08,West Europe,Storage,0,0,0,849,Winter,97,1
2020-01-08,Central India,Compute,68632,75442,3439,0,Winter,85,0
2020-01-08,Central India,Storage,0,0,0,371,Winter,92,0
2020-01-09,East US,Compute,60834,67599,9047,0,Winter,86,0
2020-01-09,East US,Storage,0,0,0,1046,Winter,89,0
2020-01-09,West Europe,Compute,154419,184615,13324,0,Winter,86,3
2020-01-09,West Europe,Storage,0,0,0,517,Winter,84,1
2020-01-09,Central India,Compute,88279,95690,11152,0,Winter,91,0
2020-01-09,Central India,Storage,0,0,0,598,Winter,108,0
2020-01-10,East US,Compute,167849,194976,12900,0,Winter,84,2
2020-01-10,East US,Storage,0,0,0,415,Winter,82,2
2020-01-10,West Europe,Compute,67028,80268,5575,0,Winter,92,0
2020-01-10,West Europe,Storage,0,0,0,643,Winter,85,1
2020-01-10,Central India,Compute,91340,105483,12001,0,Winter,98,1
2020-01-10,Central India,Storage,0,0,0,1054,Winter,104,0
2020-01-11,East US,Compute,134015,142169,7935,0,Winter,89,2
2020-01-11,East US,Storage,0,0,0,984,Winter,100,3
2020-01-11,West Europe,Compute,60068,74532,8994,0,Winter,85,0
2020-01-11,West Europe,Storage,0,0,0,921,Winter,109,3
2020-01-11,Central India,Compute,103890,120736,4116,0,Winter,94,0
2020-01-11,Central India,Storage,0,0,0,490,Winter,106,3
2020-01-12,East US,Compute,122095,142477,5039,0,Winter,86,0
2020-01-12,East US,Storage,0,0,0,409,Winter,96,3
2020-01-12,West Europe,Compute,111495,136052,8051,0,Winter,97,0
2020-01-12,West Europe,Storage,0,0,0,1173,Winter,98,3
2020-01-12,Central India,Compute,60324,66067,7587,0,Winter,90,1
2020-01-12,Central India,Storage,0,0,0,827,Winter,92,0
2020-01-13,East US,Compute,106371,111942,8988,0,Winter,86,1
2020-01-13,East US,Storage,0,0,0,318,Winter,93,1
2020-01-13,West Europe,Compute,116480,132522,11735,0,Winter,91,1
2020-01-13,West Europe,Storage,0,0,0,954,Winter,103,0
2020-01-13,Central India,Compute,157993,170280,5480,0,Winter,107,1
2020-01-13,Central India,Storage,0,0,0,790,Winter,88,0
2020-01-14,East US,Compute,142511,169950,13522,0,Winter,99,3
2020-01-14,East US,Storage,0,0,0,576,Winter,96,0
2020-01-14,West Europe,Compute,78557,84920,10587,0,Winter,80,1
2020-01-14,West Europe,Storage,0,0,0,775,Winter,106,0
2020-01-14,Central India,Compute,96924,105991,6460,0,Winter,83,3
2020-01-14,Central India,Storage,0,0,0,751,Winter,102,0
2020-01-15,East US,Compute,147721,164258,12884,0,Winter,92,0
2020-01-15,East US,Storage,0,0,0,1097,Winter,90,0
2020-01-15,West Europe,Compute,140260,163911,10198,0,Winter,99,2
2020-01-15,West Europe,Storage,0,0,0,981,Winter,96,1
2020-01-15,Central India,Compute,140463,156313,5667,0,Winter,107,0
2020-01-15,Central India,Storage,0,0,0,938,Winter,87,0
2020-01-16,East US,Compute,72464,84686,9336,0,Winter,86,3
2020-01-16,East US,Storage,0,0,0,798,Winter,91,0
2020-01-16,West Europe,Compute,64966,77180,8442,0,Winter,103,0
2020-01-16,West Europe,Storage,0,0,0,638,Winter,80,0
2020-01-16,Central India,Compute,93933,116490,3526,0,Winter,96,0
2020-01-16,Central India,Storage,0,0,0,332,Winter,109,0
2020-01-17,East US,Compute,103136,118106,14662,0,Winter,87,0
2020-01-17,East US,Storage,0,0,0,726,Winter,90,0
2020-01-17,West Europe,Compute,137368,155992,10074,0,Winter,80,0
2020-01-17,West Europe,Storage,0,0,0,351,Winter,97,0
2020-01-17,Central India,Compute,73932,79462,4771,0,Winter,109,0
2020-01-17,Central India,Storage,0,0,0,427,Winter,89,0
2020-01-18,East US,Compute,139588,172442,12745,0,Winter,94,2
2020-01-18,East US,Storage,0,0,0,1008,Winter,97,3
2020-01-18,West Europe,Compute,160610,171457,7925,0,Winter,85,0
2020-01-18,West Europe,Storage,0,0,0,435,Winter,99,0
2020-01-18,Central India,Compute,52729,59291,4816,0,Winter,86,0
2020-01-18,Central India,Storage,0,0,0,852,Winter,93,0
2020-01-19,East US,Compute,99315,113923,4772,0,Winter,95,0
2020-01-19,East US,Storage,0,0,0,1013,Winter,80,0
2020-01-19,West Europe,Compute,77442,92540,3296,0,Winter,81,0
2020-01-19,West Europe,Storage,0,0,0,467,Winter,85,1
2020-01-19,Central India,Compute,67877,72694,3056,0,Winter,105,0
2020-01-19,Central India,Storage,0,0,0,536,Winter,98,1
2020-01-20,East US,Compute,72756,78094,6493,0,Winter,105,1
2020-01-20,East US,Storage,0,0,0,382,Winter,83,0
2020-01-20,West Europe,Compute,62518,69384,4800,0,Winter,101,2
2020-01-20,West Europe,Storage,0,0,0,513,Winter,84,0
2020-01-20,Central India,Compute,69597,86182,5434,0,Winter,82,0
2020-01-20,Central India,Storage,0,0,0,1127,Winter,99,0
2020-01-21,East US,Compute,127238,136512,8604,0,Winter,84,2
2020-01-21,East US,Storage,0,0,0,544,Winter,106,3
2020-01-21,West Europe,Compute,50825,57901,6174,0,Winter,99,0
2020-01-21,West Europe,Storage,0,0,0,1044,Winter,107,3
2020-01-21,Central India,Compute,63419,69605,12941,0,Winter,106,0
2020-01-21,Central India,Storage,0,0,0,1087,Winter,95,0
2020-01-22,East US,Compute,67482,74723,8008,0,Winter,89,2
2020-01-22,East US,Storage,0,0,0,761,Winter,105,0
2020-01-22,West Europe,Compute,139018,170886,3203,0,Winter,85,0
2020-01-22,West Europe,Storage,0,0,0,538,Winter,99,0
2020-01-22,Central India,Compute,157631,190626,14283,0,Winter,99,3
2020-01-22,Central India,Storage,0,0,0,1186,Winter,82,1
2020-01-23,East US,Compute,178191,205653,12592,0,Winter,105,0
2020-01-23,East US,Storage,0,0,0,1025,Winter,96,1
2020-01-23,West Europe,Compute,175555,192897,6695,0,Winter,94,1
2020-01-23,West Europe,Storage,0,0,0,450,Winter,103,0
2020-01-23,Central India,Compute,89651,96808,3938,0,Winter,91,0
2020-01-23,Central India,Storage,0,0,0,1127,Winter,80,1
2020-01-24,East US,Compute,141631,171407,9150,0,Winter,93,1
2020-01-24,East US,Storage,0,0,0,437,Winter,106,2
2020-01-24,West Europe,Compute,105110,110883,10366,0,Winter,96,2
2020-01-24,West Europe,Storage,0,0,0,739,Winter,97,0
2020-01-24,Central India,Compute,51504,60167,10611,0,Winter,92,0
2020-01-24,Central India,Storage,0,0,0,534,Winter,105,0
2020-01-25,East US,Compute,111018,123436,10174,0,Winter,101,0
2020-01-25,East US,Storage,0,0,0,1179,Winter,106,3
2020-01-25,West Europe,Compute,110965,124418,10758,0,Winter,107,1
2020-01-25,West Europe,Storage,0,0,0,674,Winter,89,0
2020-01-25,Central India,Compute,147475,156055,12292,0,Winter,99,1
2020-01-25,Central India,Storage,0,0,0,491,Winter,82,0
2020-01-26,East US,Compute,68823,81758,5603,0,Winter,82,0
2020-01-26,East US,Storage,0,0,0,549,Winter,83,3
2020-01-26,West Europe,Compute,96898,108342,10496,0,Winter,93,0
2020-01-26,West Europe,Storage,0,0,0,1054,Winter,102,0
2020-01-26,Central India,Compute,75628,89062,10599,0,Winter,91,0
2020-01-26,Central India,Storage,0,0,0,1143,Winter,103,0
2020-01-27,East US,Compute,81826,88950,10690,0,Winter,101,0
2020-01-27,East US,Storage,0,0,0,577,Winter,92,3
2020-01-27,West Europe,Compute,59863,69492,13185,0,Winter,103,0
2020-01-27,West Europe,Storage,0,0,0,1041,Winter,100,3
2020-01-27,Central India,Compute,146892,168165,4850,0,Winter,86,0
2020-01-27,Central India,Storage,0,0,0,1108,Winter,89,3
2020-01-28,East US,Compute,77686,88572,11417,0,Winter,95,0
2020-01-28,East US,Storage,0,0,0,642,Winter,85,1
2020-01-28,West Europe,Compute,134405,166834,10585,0,Winter,98,0
2020-01-28,West Europe,Storage,0,0,0,619,Winter,99,0
2020-01-28,Central India,Compute,65943,75790,3032,0,Winter,84,0
2020-01-28,Central India,Storage,0,0,0,783,Winter,86,0
2020-01-29,East US,Compute,84227,97525,3087,0,Winter,102,0
2020-01-29,East US,Storage,0,0,0,539,Winter,105,0
2020-01-29,West Europe,Compute,169112,199543,13551,0,Winter,103,0
2020-01-29,West Europe,Storage,0,0,0,384,Winter,81,2
2020-01-29,Central India,Compute,172079,203799,12850,0,Winter,107,0
2020-01-29,Central India,Storage,0,0,0,603,Winter,107,0
2020-01-30,East US,Compute,131297,159198,14135,0,Winter,88,3
2020-01-30,East US,Storage,0,0,0,857,Winter,101,0
2020-01-30,West Europe,Compute,66665,82357,11825,0,Winter,104,0
2020-01-30,West Europe,Storage,0,0,0,469,Winter,89,0
2020-01-30,Central India,Compute,54451,61783,11327,0,Winter,87,0
2020-01-30,Central India,Storage,0,0,0,907,Winter,85,3
2020-01-31,East US,Compute,81896,95838,6730,0,Winter,99,2
2020-01-31,East US,Storage,0,0,0,749,Winter,107,0
2020-01-31,West Europe,Compute,157028,182592,13573,0,Winter,108,0
2020-01-31,West Europe,Storage,0,0,0,445,Winter,93,0
2020-01-31,Central India,Compute,98882,104540,6440,0,Winter,98,1
2020-01-31,Central India,Storage,0,0,0,468,Winter,102,0
2020-02-01,East US,Compute,84213,88983,3596,0,Winter,105,1
2020-02-01,East US,Storage,0,0,0,961,Winter,100,2
2020-02-01,West Europe,Compute,112424,126122,14143,0,Winter,82,0
2020-02-01,West Europe,Storage,0,0,0,1163,Winter,102,1
2020-02-01,Central India,Compute,130965,139764,9670,0,Winter,92,0
2020-02-01,Central India,Storage,0,0,0,809,Winter,84,0
2020-02-02,East US,Compute,64357,78398,12619,0,Winter,104,1
2020-02-02,East US,Storage,0,0,0,517,Winter,80,0
2020-02-02,West Europe,Compute,160778,174858,10146,0,Winter,81,3
2020-02-02,West Europe,Storage,0,0,0,1069,Winter,89,3
2020-02-02,Central India,Compute,178908,188262,11934,0,Winter,96,1
2020-02-02,Central India,Storage,0,0,0,825,Winter,82,0
2020-02-03,East US,Compute,112543,136835,14932,0,Winter,83,3
2020-02-03,East US,Storage,0,0,0,730,Winter,92,3
2020-02-03,West Europe,Compute,62075,69289,4028,0,Winter,103,0
2020-02-03,West Europe,Storage,0,0,0,851,Winter,96,3
2020-02-03,Central India,Compute,130662,150392,3045,0,Winter,107,0
2020-02-03,Central India,Storage,0,0,0,323,Winter,88,3
2020-02-04,East US,Compute,76347,87645,8675,0,Winter,94,0
2020-02-04,East US,Storage,0,0,0,682,Winter,108,0
2020-02-04,West Europe,Compute,132631,163684,4335,0,Winter,106,2
2020-02-04,West Europe,Storage,0,0,0,770,Winter,93,0
2020-02-04,Central India,Compute,69545,79964,12905,0,Winter,97,0
2020-02-04,Central India,Storage,0,0,0,812,Winter,95,3
2020-02-05,East US,Compute,92110,110128,9298,0,Winter,94,1
2020-02-05,East US,Storage,0,0,0,696,Winter,100,0
2020-02-05,West Europe,Compute,171985,203622,6805,0,Winter,87,1
2020-02-05,West Europe,Storage,0,0,0,616,Winter,109,0
2020-02-05,Central India,Compute,179332,195805,11303,0,Winter,109,1
2020-02-05,Central India,Storage,0,0,0,1182,Winter,88,1
2020-02-06,East US,Compute,167101,193833,9645,0,Winter,105,3
2020-02-06,East US,Storage,0,0,0,684,Winter,83,1
2020-02-06,West Europe,Compute,50597,54118,12167,0,Winter,94,3
2020-02-06,West Europe,Storage,0,0,0,786,Winter,102,0
2020-02-06,Central India,Compute,81139,95464,10753,0,Winter,107,1
2020-02-06,Central India,Storage,0,0,0,835,Winter,81,3
2020-02-07,East US,Compute,76288,91007,13791,0,Winter,88,0
2020-02-07,East US,Storage,0,0,0,1010,Winter,108,3
2020-02-07,West Europe,Compute,61021,74040,12802,0,Winter,86,0
2020-02-07,West Europe,Storage,0,0,0,474,Winter,94,0
2020-02-07,Central India,Compute,133051,139808,6421,0,Winter,93,0
2020-02-07,Central India,Storage,0,0,0,420,Winter,107,0
2020-02-08,East US,Compute,144077,159770,4334,0,Winter,87,1
2020-02-08,East US,Storage,0,0,0,663,Winter,95,3
2020-02-08,West Europe,Compute,133517,143934,9779,0,Winter,88,0
2020-02-08,West Europe,Storage,0,0,0,1133,Winter,102,2
2020-02-08,Central India,Compute,147053,161758,3015,0,Winter,96,2
2020-02-08,Central India,Storage,0,0,0,1136,Winter,107,1
2020-02-09,East US,Compute,120958,138295,14801,0,Winter,108,3
2020-02-09,East US,Storage,0,0,0,907,Winter,99,2
2020-02-09,West Europe,Compute,111364,120496,4210,0,Winter,100,0
2020-02-09,West Europe,Storage,0,0,0,343,Winter,88,0
2020-02-09,Central India,Compute,56468,59451,8063,0,Winter,103,3
2020-02-09,Central India,Storage,0,0,0,722,Winter,109,1
2020-02-10,East US,Compute,146128,179275,6172,0,Winter,89,3
2020-02-10,East US,Storage,0,0,0,855,Winter,109,0
2020-02-10,West Europe,Compute,101535,112194,5225,0,Winter,101,0
2020-02-10,West Europe,Storage,0,0,0,774,Winter,85,0
2020-02-10,Central India,Compute,130416,158549,4935,0,Winter,91,0
2020-02-10,Central India,Storage,0,0,0,549,Winter,102,2
2020-02-11,East US,Compute,122826,130308,9307,0,Winter,96,0
2020-02-11,East US,Storage,0,0,0,635,Winter,82,0
2020-02-11,West Europe,Compute,73707,83102,3101,0,Winter,83,3
2020-02-11,West Europe,Storage,0,0,0,510,Winter,101,0
2020-02-11,Central India,Compute,96125,114222,11036,0,Winter,90,1
2020-02-11,Central India,Storage,0,0,0,1152,Winter,83,0
2020-02-12,East US,Compute,122879,145592,10901,0,Winter,90,0
2020-02-12,East US,Storage,0,0,0,997,Winter,108,0
2020-02-12,West Europe,Compute,163424,173127,11645,0,Winter,92,0
2020-02-12,West Europe,Storage,0,0,0,843,Winter,92,0
2020-02-12,Central India,Compute,63935,72385,14224,0,Winter,90,1
2020-02-12,Central India,Storage,0,0,0,840,Winter,96,2
2020-02-13,East US,Compute,122143,151751,10091,0,Winter,95,0
2020-02-13,East US,Storage,0,0,0,921,Winter,99,0
2020-02-13,West Europe,Compute,111467,130500,12625,0,Winter,96,0
2020-02-13,West Europe,Storage,0,0,0,827,Winter,94,3
2020-02-13,Central India,Compute,77050,89485,4258,0,Winter,97,0
2020-02-13,Central India,Storage,0,0,0,653,Winter,87,0
2020-02-14,East US,Compute,52160,63280,8857,0,Winter,96,2
2020-02-14,East US,Storage,0,0,0,921,Winter,107,0
2020-02-14,West Europe,Compute,165557,185971,12920,0,Winter,95,1
2020-02-14,West Europe,Storage,0,0,0,1028,Winter,98,3
2020-02-14,Central India,Compute,145535,158335,10162,0,Winter,82,0
2020-02-14,Central India,Storage,0,0,0,979,Winter,87,3
2020-02-15,East US,Compute,99439,112145,4497,0,Winter,100,0
2020-02-15,East US,Storage,0,0,0,327,Winter,82,0
2020-02-15,West Europe,Compute,53251,62882,4265,0,Winter,108,0
2020-02-15,West Europe,Storage,0,0,0,1125,Winter,97,0
2020-02-15,Central India,Compute,75151,81107,11241,0,Winter,91,0
2020-02-15,Central India,Storage,0,0,0,1142,Winter,96,1
2020-02-16,East US,Compute,135116,166779,8257,0,Winter,102,2
2020-02-16,East US,Storage,0,0,0,398,Winter,109,2
2020-02-16,West Europe,Compute,147112,162939,7943,0,Winter,85,0
2020-02-16,West Europe,Storage,0,0,0,1093,Winter,108,0
2020-02-16,Central India,Compute,60915,71433,9822,0,Winter,83,1
2020-02-16,Central India,Storage,0,0,0,769,Winter,109,0
2020-02-17,East US,Compute,142057,167001,4480,0,Winter,84,0
2020-02-17,East US,Storage,0,0,0,554,Winter,99,2
2020-02-17,West Europe,Compute,147880,178268,5421,0,Winter,87,0
2020-02-17,West Europe,Storage,0,0,0,613,Winter,93,0
2020-02-17,Central India,Compute,131361,153540,4024,0,Winter,102,0
2020-02-17,Central India,Storage,0,0,0,598,Winter,105,0
2020-02-18,East US,Compute,82878,99118,4981,0,Winter,101,0
2020-02-18,East US,Storage,0,0,0,882,Winter,98,3
2020-02-18,West Europe,Compute,96481,102717,12493,0,Winter,101,3
2020-02-18,West Europe,Storage,0,0,0,1182,Winter,105,0
2020-02-18,Central India,Compute,179469,216574,6184,0,Winter,107,0
2020-02-18,Central India,Storage,0,0,0,642,Winter,107,3
2020-02-19,East US,Compute,165434,192759,5789,0,Winter,104,0
2020-02-19,East US,Storage,0,0,0,763,Winter,109,0
2020-02-19,West Europe,Compute,74545,91482,9195,0,Winter,105,0
2020-02-19,West Europe,Storage,0,0,0,1090,Winter,105,1
2020-02-19,Central India,Compute,158554,188702,8696,0,Winter,100,3
2020-02-19,Central India,Storage,0,0,0,895,Winter,88,0
2020-02-20,East US,Compute,76449,84484,10267,0,Winter,87,3
2020-02-20,East US,Storage,0,0,0,1186,Winter,88,1
2020-02-20,West Europe,Compute,170665,185755,13447,0,Winter,92,1
2020-02-20,West Europe,Storage,0,0,0,841,Winter,103,0
2020-02-20,Central India,Compute,76535,89065,12879,0,Winter,101,0
2020-02-20,Central India,Storage,0,0,0,518,Winter,84,3
2020-02-21,East US,Compute,92253,109287,4106,0,Winter,106,0
2020-02-21,East US,Storage,0,0,0,1041,Winter,105,3
2020-02-21,West Europe,Compute,55216,65009,3626,0,Winter,91,0
2020-02-21,West Europe,Storage,0,0,0,1057,Winter,100,0
2020-02-21,Central India,Compute,164117,199899,10101,0,Winter,102,0
2020-02-21,Central India,Storage,0,0,0,941,Winter,88,2
2020-02-22,East US,Compute,92350,106114,9158,0,Winter,98,1
2020-02-22,East US,Storage,0,0,0,465,Winter,92,1
2020-02-22,West Europe,Compute,61933,71936,6317,0,Winter,88,2
2020-02-22,West Europe,Storage,0,0,0,517,Winter,89,0
2020-02-22,Central India,Compute,153775,175548,5445,0,Winter,101,0
2020-02-22,Central India,Storage,0,0,0,693,Winter,101,0
2020-02-23,East US,Compute,151347,179726,8394,0,Winter,100,3
2020-02-23,East US,Storage,0,0,0,1176,Winter,93,0
2020-02-23,West Europe,Compute,55853,63470,5033,0,Winter,107,1
2020-02-23,West Europe,Storage,0,0,0,638,Winter,97,2
2020-02-23,Central India,Compute,79430,95320,4486,0,Winter,106,0
2020-02-23,Central India,Storage,0,0,0,734,Winter,85,3
2020-02-24,East US,Compute,137375,150833,9962,0,Winter,108,0
2020-02-24,East US,Storage,0,0,0,701,Winter,89,1
2020-02-24,West Europe,Compute,70549,77530,13632,0,Winter,95,2
2020-02-24,West Europe,Storage,0,0,0,734,Winter,102,0
2020-02-24,Central India,Compute,79456,95541,7440,0,Winter,102,1
2020-02-24,Central India,Storage,0,0,0,787,Winter,101,1
2020-02-25,East US,Compute,130118,159318,10283,0,Winter,83,1
2020-02-25,East US,Storage,0,0,0,868,Winter,87,0
2020-02-25,West Europe,Compute,65150,74920,8721,0,Winter,101,0
2020-02-25,West Europe,Storage,0,0,0,736,Winter,90,0
2020-02-25,Central India,Compute,61446,73743,12593,0,Winter,94,0
2020-02-25,Central India,Storage,0,0,0,681,Winter,102,3
2020-02-26,East US,Compute,170712,198800,12491,0,Winter,85,1
2020-02-26,East US,Storage,0,0,0,401,Winter,100,0
2020-02-26,West Europe,Compute,99798,113986,14152,0,Winter,91,3
2020-02-26,West Europe,Storage,0,0,0,675,Winter,92,1
2020-02-26,Central India,Compute,114890,132867,13426,0,Winter,87,0
2020-02-26,Central India,Storage,0,0,0,776,Winter,85,0
2020-02-27,East US,Compute,148744,163558,3104,0,Winter,100,3
2020-02-27,East US,Storage,0,0,0,869,Winter,105,3
2020-02-27,West Europe,Compute,73316,88075,5280,0,Winter,103,1
2020-02-27,West Europe,Storage,0,0,0,975,Winter,92,0
2020-02-27,Central India,Compute,77653,95544,11796,0,Winter,103,1
2020-02-27,Central India,Storage,0,0,0,311,Winter,80,1
2020-02-28,East US,Compute,56788,65120,3551,0,Winter,107,0
2020-02-28,East US,Storage,0,0,0,303,Winter,81,0
2020-02-28,West Europe,Compute,128020,151285,13085,0,Winter,95,0
2020-02-28,West Europe,Storage,0,0,0,849,Winter,101,0
2020-02-28,Central India,Compute,128854,147125,11834,0,Winter,108,0
2020-02-28,Central India,Storage,0,0,0,458,Winter,103,1
2020-02-29,East US,Compute,109742,136891,14353,0,Winter,87,2
2020-02-29,East US,Storage,0,0,0,556,Winter,83,1
2020-02-29,West Europe,Compute,149408,183457,6396,0,Winter,84,0
2020-02-29,West Europe,Storage,0,0,0,1149,Winter,99,0
2020-02-29,Central India,Compute,69991,77542,5243,0,Winter,87,0
2020-02-29,Central India,Storage,0,0,0,989,Winter,94,3
2020-03-01,East US,Compute,125316,143868,14583,0,Spring,88,1
2020-03-01,East US,Storage,0,0,0,801,Spring,101,0
2020-03-01,West Europe,Compute,115226,134330,5544,0,Spring,90,0
2020-03-01,West Europe,Storage,0,0,0,1124,Spring,107,0
2020-03-01,Central India,Compute,177881,196716,8191,0,Spring,88,1
2020-03-01,Central India,Storage,0,0,0,914,Spring,106,1
2020-03-02,East US,Compute,101585,118645,6186,0,Spring,100,2
2020-03-02,East US,Storage,0,0,0,1152,Spring,94,0
2020-03-02,West Europe,Compute,177324,189037,4254,0,Spring,90,0
2020-03-02,West Europe,Storage,0,0,0,708,Spring,95,0
2020-03-02,Central India,Compute,164228,174028,5496,0,Spring,81,0
2020-03-02,Central India,Storage,0,0,0,719,Spring,105,0
2020-03-03,East US,Compute,75306,82562,8715,0,Spring,88,0
2020-03-03,East US,Storage,0,0,0,519,Spring,80,0
2020-03-03,West Europe,Compute,153179,176042,13203,0,Spring,87,0
2020-03-03,West Europe,Storage,0,0,0,891,Spring,80,0
2020-03-03,Central India,Compute,66707,79232,12815,0,Spring,98,3
2020-03-03,Central India,Storage,0,0,0,898,Spring,107,3
2020-03-04,East US,Compute,61002,69623,3769,0,Spring,83,0
2020-03-04,East US,Storage,0,0,0,1132,Spring,94,0
2020-03-04,West Europe,Compute,133160,154142,8206,0,Spring,99,0
2020-03-04,West Europe,Storage,0,0,0,852,Spring,89,0
2020-03-04,Central India,Compute,94629,115564,10252,0,Spring,109,0
2020-03-04,Central India,Storage,0,0,0,380,Spring,84,0
2020-03-05,East US,Compute,149890,168953,10728,0,Spring,83,0
2020-03-05,East US,Storage,0,0,0,894,Spring,89,0
2020-03-05,West Europe,Compute,106914,126502,5259,0,Spring,106,0
2020-03-05,West Europe,Storage,0,0,0,715,Spring,107,1
2020-03-05,Central India,Compute,178741,218343,10551,0,Spring,107,0
2020-03-05,Central India,Storage,0,0,0,681,Spring,88,2
2020-03-06,East US,Compute,102731,123358,11522,0,Spring,83,0
2020-03-06,East US,Storage,0,0,0,679,Spring,104,0
2020-03-06,West Europe,Compute,85982,106434,13002,0,Spring,100,0
2020-03-06,West Europe,Storage,0,0,0,856,Spring,91,2
2020-03-06,Central India,Compute,175097,205974,10634,0,Spring,100,3
2020-03-06,Central India,Storage,0,0,0,1094,Spring,87,1
2020-03-07,East US,Compute,168813,197886,8075,0,Spring,98,0
2020-03-07,East US,Storage,0,0,0,714,Spring,82,0
2020-03-07,West Europe,Compute,149880,172426,14604,0,Spring,89,0
2020-03-07,West Europe,Storage,0,0,0,1154,Spring,84,3
2020-03-07,Central India,Compute,134371,164814,13742,0,Spring,89,1
2020-03-07,Central India,Storage,0,0,0,1119,Spring,81,0
2020-03-08,East US,Compute,62046,74807,3761,0,Spring,106,2
2020-03-08,East US,Storage,0,0,0,1014,Spring,89,0
2020-03-08,West Europe,Compute,52325,56149,8501,0,Spring,96,3
2020-03-08,West Europe,Storage,0,0,0,1183,Spring,92,2
2020-03-08,Central India,Compute,132981,140928,6557,0,Spring,108,0
2020-03-08,Central India,Storage,0,0,0,631,Spring,85,3
2020-03-09,East US,Compute,108340,133712,7940,0,Spring,92,1
2020-03-09,East US,Storage,0,0,0,1067,Spring,80,0
2020-03-09,West Europe,Compute,86945,98443,4174,0,Spring,84,0
2020-03-09,West Europe,Storage,0,0,0,823,Spring,105,0
2020-03-09,Central India,Compute,157966,172066,14708,0,Spring,82,0
2020-03-09,Central India,Storage,0,0,0,827,Spring,95,0
2020-03-10,East US,Compute,101219,112202,8549,0,Spring,95,0
2020-03-10,East US,Storage,0,0,0,626,Spring,98,0
2020-03-10,West Europe,Compute,60115,72169,6878,0,Spring,108,2
2020-03-10,West Europe,Storage,0,0,0,944,Spring,97,3
2020-03-10,Central India,Compute,152919,183788,12144,0,Spring,99,0
2020-03-10,Central India,Storage,0,0,0,865,Spring,90,2
2020-03-11,East US,Compute,84925,102187,7743,0,Spring,100,3
2020-03-11,East US,Storage,0,0,0,731,Spring,101,0
2020-03-11,West Europe,Compute,78889,94033,10826,0,Spring,101,0
2020-03-11,West Europe,Storage,0,0,0,933,Spring,108,0
2020-03-11,Central India,Compute,89753,110194,4554,0,Spring,82,3
