Date,Region,Service,Daily_Usage_Units,Peak_Usage_Units,VM_Count,Storage_TB,Season,Econ_Index,Downtime_Min,Usage_Lag_1,Usage_Lag_7,Week_Over_Week_Growth,Seasonality_Factor
2020-03-24,East US,Compute,120315,147623,4814,0,Spring,85,3,118588.0,78341.0,53.578585925632815,1.0822810374922929
2020-03-25,East US,Compute,62564,67218,12762,0,Spring,81,3,120315.0,128872.0,-51.45260413433485,1.1001246841164833
2020-03-26,East US,Compute,113235,131930,13354,0,Spring,97,0,62564.0,142701.0,-20.648769104631363,1.0676660454256033
2020-03-27,East US,Compute,111613,117942,10058,0,Spring,80,0,113235.0,140011.0,-20.28269207419417,1.1594766071105096
2020-03-28,East US,Compute,129882,147439,14990,0,Spring,96,2,111613.0,64662.0,100.86294887259906,1.0732525703276927
2020-03-29,East US,Compute,72489,84309,10921,0,Spring,103,3,129882.0,120647.0,-39.916450471209394,1.0985920974606276
2020-03-30,East US,Compute,59388,70413,12777,0,Spring,104,2,72489.0,118588.0,-49.920733969710255,1.0778227586014846
2020-03-31,East US,Compute,89207,99513,3323,0,Spring,98,0,59388.0,120315.0,-25.855462743631303,1.1987065394999221
2020-04-01,East US,Compute,74703,79105,11232,0,Spring,100,2,89207.0,62564.0,19.402531807429195,1.188528035028642
2020-04-02,East US,Compute,177569,194989,7615,0,Spring,102,1,74703.0,113235.0,56.81458912880293,1.1284921759042053
2020-04-03,East US,Compute,167129,183515,8654,0,Spring,106,1,177569.0,111613.0,49.739725659197404,1.084755828786496
2020-04-04,East US,Compute,83095,98132,13174,0,Spring,86,0,167129.0,129882.0,-36.022697525446176,1.1571620294229308
2020-04-05,East US,Compute,107768,121283,3130,0,Spring,88,0,83095.0,72489.0,48.668073776710955,1.130046237395411
2020-04-06,East US,Compute,149148,162876,6615,0,Spring,97,0,107768.0,59388.0,151.14164477672256,1.193423175264075
2020-04-07,East US,Compute,78529,89874,12211,0,Spring,101,0,149148.0,89207.0,-11.969912675014292,1.164789369763659
2020-04-08,East US,Compute,103540,116812,7764,0,Spring,94,3,78529.0,74703.0,38.60219803756208,1.149013397454784
2020-04-09,East US,Compute,61278,64416,9349,0,Spring,81,0,103540.0,177569.0,-65.49059802105097,1.111759454136782
2020-04-10,East US,Compute,94138,108389,12969,0,Spring,107,0,61278.0,167129.0,-43.67344985011578,1.110218795844338
2020-04-11,East US,Compute,152881,166808,5270,0,Spring,97,0,94138.0,83095.0,83.98339250255732,1.1419678243828604
2020-04-12,East US,Compute,161725,176361,5172,0,Spring,95,3,152881.0,107768.0,50.067738104075424,1.1104556835889121
2020-04-13,East US,Compute,141170,161299,14438,0,Spring,87,0,161725.0,149148.0,-5.349049266500389,1.0574736952321147
2020-04-14,East US,Compute,119096,142419,6890,0,Spring,106,0,141170.0,78529.0,51.65862292910899,1.1870031007585506
2020-04-15,East US,Compute,77403,87006,7238,0,Spring,103,0,119096.0,103540.0,-25.24338419934325,1.0860653819980877
2020-04-16,East US,Compute,152353,187900,4155,0,Spring,108,0,77403.0,61278.0,148.62593426678416,1.0948177900767881
2020-04-17,East US,Compute,79658,89720,9534,0,Spring,94,0,152353.0,94138.0,-15.381673713059552,1.172332358282764
2020-04-18,East US,Compute,171786,206266,4128,0,Spring,107,1,79658.0,152881.0,12.365827015783518,1.1667494729433285
2020-04-19,East US,Compute,66827,83063,10040,0,Spring,85,0,171786.0,161725.0,-58.67862111609213,1.1130760573735348
2020-04-20,East US,Compute,104845,121513,12015,0,Spring,91,3,66827.0,141170.0,-25.731387688602393,1.1496284187037946
2020-04-21,East US,Compute,118619,137484,10504,0,Spring,83,0,104845.0,119096.0,-0.4005172297978102,1.1083650380168137
2020-04-22,East US,Compute,52355,55649,13959,0,Spring,107,2,118619.0,77403.0,-32.360502822888,1.0667839916558153
2020-04-23,East US,Compute,83224,100794,3982,0,Spring,83,0,52355.0,152353.0,-45.37422958523955,1.1828111672367234
2020-04-24,East US,Compute,82539,98845,10095,0,Spring,99,2,83224.0,79658.0,3.6167114414120363,1.1838367684175168
2020-04-25,East US,Compute,127813,143839,5240,0,Spring,94,0,82539.0,171786.0,-25.597545783707638,1.0893736708227757
2020-04-26,East US,Compute,111522,125931,8269,0,Spring,97,3,127813.0,66827.0,66.88164963263353,1.1873679029701076
2020-04-27,East US,Compute,174168,216676,4167,0,Spring,96,3,111522.0,104845.0,66.11950975249178,1.1026640358240887
2020-04-28,East US,Compute,160196,187966,3015,0,Spring,106,0,174168.0,118619.0,35.050877178192366,1.1124439307890879
2020-04-29,East US,Compute,105993,111806,14839,0,Spring,97,0,160196.0,52355.0,102.45057778626683,1.1045279351879673
2020-04-30,East US,Compute,145741,159037,13806,0,Spring,81,0,105993.0,83224.0,75.11895607036432,1.156846804028755
2020-05-01,East US,Compute,175715,212874,12397,0,Spring,108,3,145741.0,82539.0,112.88724118295595,1.1077256359762695
2020-05-02,East US,Compute,143569,163690,4172,0,Spring,83,0,175715.0,127813.0,12.327384538348994,1.0550629462051866
2020-05-03,East US,Compute,149914,160888,6637,0,Spring,88,3,143569.0,111522.0,34.42549452126038,1.1814826067714657
2020-05-04,East US,Compute,83171,101319,12399,0,Spring,99,1,149914.0,174168.0,-52.24668136511874,1.1182479231119837
2020-05-05,East US,Compute,97212,104264,8123,0,Spring,88,0,83171.0,160196.0,-39.31683687482834,1.1399872027980495
2020-05-06,East US,Compute,159239,178756,12932,0,Spring,98,0,97212.0,105993.0,50.235392903304934,1.1612226223477766
2020-05-07,East US,Compute,136876,152437,6327,0,Spring,84,0,159239.0,145741.0,-6.082708366211293,1.1515074202292852
2020-05-08,East US,Compute,177335,218066,13477,0,Spring,99,0,136876.0,175715.0,0.9219474717582449,1.0735210980598666
2020-05-09,East US,Compute,129297,140246,14157,0,Spring,86,3,177335.0,143569.0,-9.940864671342698,1.0659384575597646
2020-05-10,East US,Compute,112595,118516,5910,0,Spring,95,1,129297.0,149914.0,-24.893605667249222,1.1856128884203732
2020-05-11,East US,Compute,75582,87472,8991,0,Spring,100,2,112595.0,83171.0,-9.124574671460003,1.156597866501133
2020-05-12,East US,Compute,96137,101909,8987,0,Spring,89,1,75582.0,97212.0,-1.1058305558984487,1.0889188953898992
2020-05-13,East US,Compute,60789,75370,7815,0,Spring,88,0,96137.0,159239.0,-61.82530661458562,1.1094103633596435
2020-05-14,East US,Compute,143637,166486,13049,0,Spring,92,3,60789.0,136876.0,4.939507291270932,1.1179863542131945
2020-05-15,East US,Compute,76075,80856,10673,0,Spring,97,1,143637.0,177335.0,-57.1009670961739,1.1428293956400077
2020-05-16,East US,Compute,169711,185935,14185,0,Spring,102,3,76075.0,129297.0,31.25671902673689,1.1568641228860745
2020-05-17,East US,Compute,119319,135283,4895,0,Spring,90,0,169711.0,112595.0,5.971845996713887,1.0581982644368393
2020-05-18,East US,Compute,137352,152803,6389,0,Spring,89,3,119319.0,75582.0,81.72580773199968,1.193054300967752
2020-05-19,East US,Compute,105896,124574,4539,0,Spring,94,2,137352.0,96137.0,10.151138479461602,1.0810157854264641
2020-05-20,East US,Compute,103397,121413,5059,0,Spring,103,0,105896.0,60789.0,70.09162841961539,1.149533630513522
2020-05-21,East US,Compute,150806,162466,6321,0,Spring,96,3,103397.0,143637.0,4.991053837103253,1.1464036413462093
2020-05-22,East US,Compute,94556,114966,7738,0,Spring,101,1,150806.0,76075.0,24.293131777850803,1.1992257381903986
2020-05-23,East US,Compute,54232,67067,5465,0,Spring,103,0,94556.0,169711.0,-68.04449917801438,1.1789398553767725
2020-05-24,East US,Compute,136310,164855,14371,0,Spring,94,0,54232.0,119319.0,14.239978544909027,1.1676307347108144
2020-05-25,East US,Compute,63039,66721,14234,0,Spring,84,3,136310.0,137352.0,-54.10405381792766,1.1881840909717316
2020-05-26,East US,Compute,134426,160399,5982,0,Spring,106,1,63039.0,105896.0,26.94152753645086,1.120773830701352
2020-05-27,East US,Compute,143525,176248,10754,0,Spring,103,0,134426.0,103397.0,38.809636643229496,1.1253943085736018
2020-05-28,East US,Compute,94140,102896,12808,0,Spring,107,0,143525.0,150806.0,-37.57542803336737,1.0656710850645659
2020-05-29,East US,Compute,136935,160113,9006,0,Spring,85,3,94140.0,94556.0,44.818943271712,1.0912835146676816
2020-05-30,East US,Compute,110206,137472,3576,0,Spring,98,2,136935.0,54232.0,103.21212568225403,1.18413102910428
2020-05-31,East US,Compute,126606,139201,5561,0,Spring,102,0,110206.0,136310.0,-7.119066832954295,1.0633771083133887
2020-06-01,East US,Compute,113732,140053,7362,0,Summer,106,1,126606.0,63039.0,80.41529846602896,1.102400630653081
2020-06-02,East US,Compute,56132,60345,9250,0,Summer,104,0,113732.0,134426.0,-58.24319700058025,1.0801455682534618
2020-06-03,East US,Compute,179886,219662,10120,0,Summer,91,0,56132.0,143525.0,25.334262323636995,1.1588159933939763
2020-06-04,East US,Compute,89851,107502,12405,0,Summer,108,2,179886.0,94140.0,-4.555980454642023,1.1335346019514563
2020-06-05,East US,Compute,156791,192057,5843,0,Summer,88,3,89851.0,136935.0,14.500310366232155,1.0835204050669403
2020-06-06,East US,Compute,130462,140744,9831,0,Summer,103,0,156791.0,110206.0,18.380124494129177,1.1324237778610546
2020-06-07,East US,Compute,126643,138763,9439,0,Summer,97,3,130462.0,126606.0,0.02922452332432902,1.1842877985788443
2020-06-08,East US,Compute,85137,93859,6807,0,Summer,107,0,126643.0,113732.0,-25.142440122392994,1.0593001763265548
2020-06-09,East US,Compute,179074,210994,14706,0,Summer,101,0,85137.0,56132.0,219.02301717380462,1.147386337523008
2020-06-10,East US,Compute,127471,154961,12970,0,Summer,94,2,179074.0,179886.0,-29.13789844679408,1.1711713514172417
2020-06-11,East US,Compute,114063,125991,9246,0,Summer,95,3,127471.0,89851.0,26.94683420329212,1.165372351709381
2020-06-12,East US,Compute,64077,79594,3861,0,Summer,99,0,114063.0,156791.0,-59.132220599396646,1.1720652488646652
2020-06-13,East US,Compute,79343,98317,3037,0,Summer,103,0,64077.0,130462.0,-39.183057135411076,1.1219306345076874
2020-06-14,East US,Compute,169216,203539,14146,0,Summer,102,1,79343.0,126643.0,33.61654414377423,1.1283878636537314
2020-06-15,East US,Compute,78954,88906,4882,0,Summer,89,2,169216.0,85137.0,-7.26241234715811,1.0802071356434702
2020-06-16,East US,Compute,124800,148322,4069,0,Summer,98,0,78954.0,179074.0,-30.308140768620795,1.0923720112521198
2020-06-17,East US,Compute,176735,190301,4368,0,Summer,99,0,124800.0,127471.0,38.6472217210189,1.1002894010250346
2020-06-18,East US,Compute,64136,71466,5636,0,Summer,98,1,176735.0,114063.0,-43.771424563618346,1.0601868900601015
2020-06-19,East US,Compute,94104,116434,5122,0,Summer,86,1,64136.0,64077.0,46.860808090266396,1.1896696782874288
2020-06-20,East US,Compute,117468,127366,10100,0,Summer,96,0,94104.0,79343.0,48.05086775140845,1.1109993065145614
2020-06-21,East US,Compute,152231,174567,11373,0,Summer,84,2,117468.0,169216.0,-10.037466906202724,1.1846605435791944
2020-06-22,East US,Compute,124586,132404,11308,0,Summer,82,1,152231.0,78954.0,57.79567849633964,1.1177973711155658
2020-06-23,East US,Compute,111183,138939,13462,0,Summer,99,1,124586.0,124800.0,-10.911057692307692,1.0820115297603738
2020-06-24,East US,Compute,167720,190028,8230,0,Summer,109,0,111183.0,176735.0,-5.100857215605284,1.0875483321493264
2020-06-25,East US,Compute,165157,193718,7938,0,Summer,81,1,167720.0,64136.0,157.51060246975177,1.1301283750898736
2020-06-26,East US,Compute,54311,62167,13711,0,Summer,90,1,165157.0,94104.0,-42.286193998129725,1.153217210093637
2020-06-27,East US,Compute,90869,109146,11312,0,Summer,102,0,54311.0,117468.0,-22.64361357986856,1.0683052919831832
2020-06-28,East US,Compute,97067,109757,10468,0,Summer,101,1,90869.0,152231.0,-36.23703450676932,1.0507232870936247
2020-06-29,East US,Compute,52871,59031,12926,0,Summer,99,0,97067.0,124586.0,-57.56264748848186,1.1775964896489617
2020-06-30,East US,Compute,77560,93301,5260,0,Summer,102,0,52871.0,111183.0,-30.24113398631086,1.1375864428942233
2020-07-01,East US,Compute,71921,81785,10472,0,Summer,107,3,77560.0,167720.0,-57.11841163844503,1.1551871985050821
2020-07-02,East US,Compute,133495,151563,9334,0,Summer,94,2,71921.0,165157.0,-19.17084955527165,1.0871057693905506
2020-07-03,East US,Compute,81635,86093,14144,0,Summer,103,3,133495.0,54311.0,50.310250225552835,1.1195637913409155
2020-07-04,East US,Compute,109854,133977,4339,0,Summer,94,0,81635.0,90869.0,20.89271368673585,1.0774609889749123
2020-07-05,East US,Compute,97453,114717,9559,0,Summer,102,2,109854.0,97067.0,0.3976634695622611,1.1670316501428784
2020-07-06,East US,Compute,125647,141388,13978,0,Summer,102,0,97453.0,52871.0,137.6482381645893,1.1594852368926478
2020-07-07,East US,Compute,62024,67942,6859,0,Summer,86,0,125647.0,77560.0,-20.03094378545642,1.1269414840563083
2020-07-08,East US,Compute,135671,146880,10612,0,Summer,96,2,62024.0,71921.0,88.63892326302471,1.0918564395584045
2020-07-09,East US,Compute,82924,88834,11216,0,Summer,85,3,135671.0,133495.0,-37.88231768980111,1.1192715147264785
2020-07-10,East US,Compute,65648,81189,4910,0,Summer,106,3,82924.0,81635.0,-19.583511974030746,1.1380179317310086
2020-07-11,East US,Compute,104582,118717,5625,0,Summer,84,1,65648.0,109854.0,-4.799096983268702,1.0967564555404228
2020-07-12,East US,Compute,76343,81544,4022,0,Summer,94,0,104582.0,97453.0,-21.661724113162244,1.112887064349382
2020-07-13,East US,Compute,104660,123053,11518,0,Summer,91,0,76343.0,125647.0,-16.703144523944065,1.1132691804913937
2020-07-14,East US,Compute,112722,124636,13827,0,Summer,84,3,104660.0,62024.0,81.73932671224043,1.1584886725539993
2020-07-15,East US,Compute,62043,69585,12957,0,Summer,85,3,112722.0,135671.0,-54.26951964679261,1.0917261843749304
2020-07-16,East US,Compute,50070,57553,7410,0,Summer,81,0,62043.0,82924.0,-39.61941054459505,1.1407777677763182
2020-07-17,East US,Compute,172512,196682,14041,0,Summer,107,2,50070.0,65648.0,162.78332927126493,1.085485192896279
2020-07-18,East US,Compute,138084,150768,12091,0,Summer,91,0,172512.0,104582.0,32.034193264615325,1.0908273814845406
2020-07-19,East US,Compute,107171,128518,13332,0,Summer,88,2,138084.0,76343.0,40.3809124608674,1.1130425210899992
2020-07-20,East US,Compute,132882,141493,10237,0,Summer,85,0,107171.0,104660.0,26.965411809669405,1.094080079398214
2020-07-21,East US,Compute,61483,69694,14649,0,Summer,109,0,132882.0,112722.0,-45.45607778428346,1.1989672658983916
2020-07-22,East US,Compute,134675,158838,6165,0,Summer,95,0,61483.0,62043.0,117.06719533226955,1.1166473070239167
2020-07-23,East US,Compute,151190,167664,9484,0,Summer,99,1,134675.0,50070.0,201.95725983622927,1.077231918381595
2020-07-24,East US,Compute,122819,133706,11959,0,Summer,89,1,151190.0,172512.0,-28.805532368762755,1.08409219275414
2020-07-25,East US,Compute,113997,121227,13152,0,Summer,105,2,122819.0,138084.0,-17.44372990353698,1.143810295865094
2020-07-26,East US,Compute,78139,95456,8361,0,Summer,88,0,113997.0,107171.0,-27.089417846245716,1.1258129596746458
2020-07-27,East US,Compute,76137,93803,8884,0,Summer,91,0,78139.0,132882.0,-42.70330067277735,1.1273189030248727
2020-07-28,East US,Compute,93826,99102,9794,0,Summer,90,2,76137.0,61483.0,52.60478506253761,1.0939301907260286
2020-07-29,East US,Compute,171434,195294,9319,0,Summer,98,1,93826.0,134675.0,27.294598106552815,1.1329876007937838
2020-07-30,East US,Compute,160319,200087,6868,0,Summer,104,0,171434.0,151190.0,6.038097757788213,1.172191506650945
2020-07-31,East US,Compute,156293,181570,9577,0,Summer,104,0,160319.0,122819.0,27.254740716012993,1.0977258616141912
2020-08-01,East US,Compute,141342,162254,12139,0,Summer,87,1,156293.0,113997.0,23.98747335456196,1.0768736540090504
2020-08-02,East US,Compute,56109,69931,5974,0,Summer,92,0,141342.0,78139.0,-28.193347752082826,1.1767216867634622
2020-08-03,East US,Compute,73515,88068,11234,0,Summer,81,0,56109.0,76137.0,-3.443792111588321,1.0804423147103193
2020-08-04,East US,Compute,170746,209039,12098,0,Summer,95,0,73515.0,93826.0,81.98154029799842,1.0738272035268241
2020-08-05,East US,Compute,110205,126538,12147,0,Summer,94,2,170746.0,171434.0,-35.71578566678722,1.0552612291477381
2020-08-06,East US,Compute,114395,134645,4515,0,Summer,89,1,110205.0,160319.0,-28.645388257162285,1.1372214972489223
2020-08-07,East US,Compute,60018,66879,9570,0,Summer,104,0,114395.0,156293.0,-61.59904794200636,1.16983764462367
2020-08-08,East US,Compute,129982,149559,11293,0,Summer,102,3,60018.0,141342.0,-8.037242999250047,1.0989941029214914
2020-08-09,East US,Compute,92643,103718,4495,0,Summer,95,1,129982.0,56109.0,65.11254878896435,1.0711331634580783
2020-08-10,East US,Compute,143430,171585,11242,0,Summer,105,0,92643.0,73515.0,95.10304019587839,1.11152173743827
2020-08-11,East US,Compute,78001,90528,14565,0,Summer,94,3,143430.0,170746.0,-54.317524275824915,1.1572522747670229
2020-08-12,East US,Compute,158096,197148,12874,0,Summer,92,1,78001.0,110205.0,43.45628601243138,1.1535911080194083
2020-08-13,East US,Compute,158235,183016,5394,0,Summer,90,0,158096.0,114395.0,38.32335329341318,1.1106411319993132
2020-08-14,East US,Compute,125163,139443,9916,0,Summer,109,3,158235.0,60018.0,108.54243726881936,1.1810574071076134
2020-08-15,East US,Compute,96418,107425,4031,0,Summer,98,0,125163.0,129982.0,-25.822036897416567,1.0836227292898282
2020-08-16,East US,Compute,147536,167705,3564,0,Summer,98,0,96418.0,92643.0,59.25218311151409,1.1726249605875962
